Θユら戳,坝珇腹,戳る(秅),Θユ丁,Θユ基,Θユ计秖(B+S),る基,环る基,秨絃栋膙基 
20180331,CCF    ,201804     ,121442,15.55,2,-,-, 
20180331,CCF    ,201804     ,121443,15.5,2,-,-, 
20180331,CCF    ,201804     ,121524,15.55,8,-,-, 
20180331,CCF    ,201804     ,123200,15.5,2,-,-, 
20180331,CCF    ,201804     ,123200,15.5,2,-,-, 
20180331,CCF    ,201804     ,123200,15.5,2,-,-, 
20180331,CCF    ,201804     ,123200,15.5,2,-,-, 
20180331,CCF    ,201804     ,123200,15.5,20,-,-, 
20180331,CCF    ,201804     ,123920,15.5,2,-,-, 
20180331,CCF    ,201804     ,123922,15.5,2,-,-, 
20180331,CCF    ,201804     ,123922,15.5,2,-,-, 
20180331,CCF    ,201804     ,123924,15.5,2,-,-, 
20180331,CCF    ,201804     ,123925,15.5,2,-,-, 
20180331,CCF    ,201804     ,123925,15.5,2,-,-, 
20180331,CCF    ,201804     ,124011,15.5,2,-,-, 
20180331,CCF    ,201804     ,124124,15.5,50,-,-, 
20180331,CCF    ,201804     ,124916,15.5,2,-,-, 
20180331,CCF    ,201804     ,124916,15.5,2,-,-, 
20180331,CCF    ,201804     ,124916,15.5,2,-,-, 
20180331,CCF    ,201804     ,124931,15.5,2,-,-, 
20180331,CCF    ,201804     ,125153,15.5,2,-,-, 
20180331,CCF    ,201804     ,125153,15.5,2,-,-, 
20180331,CCF    ,201804     ,125153,15.5,4,-,-, 
20180331,CCF    ,201804     ,125647,15.55,4,-,-, 
20180331,CCF    ,201804     ,125814,15.5,4,-,-, 
20180331,CCF    ,201804     ,130422,15.5,6,-,-, 
20180331,CCF    ,201804     ,130809,15.5,2,-,-, 
20180331,CCF    ,201804     ,131056,15.5,2,-,-, 
20180331,CCF    ,201804     ,132129,15.5,4,-,-, 
20180331,CCF    ,201804     ,132155,15.5,2,-,-, 
20180331,CCF    ,201804     ,132405,15.45,4,-,-, 
20180331,CCF    ,201804     ,132405,15.45,4,-,-, 
20180331,CCF    ,201804     ,132500,15.5,4,-,-, 
20180331,CCF    ,201804     ,132500,15.45,4,-,-, 
20180331,CCF    ,201804     ,132712,15.45,4,-,-, 
20180331,CCF    ,201804     ,132712,15.45,4,-,-, 
20180331,CCF    ,201804     ,132712,15.45,4,-,-, 
20180331,CCF    ,201804     ,132712,15.4,4,-,-, 
20180331,CCF    ,201804     ,133048,15.45,2,-,-, 
20180331,CCF    ,201804     ,133050,15.45,2,-,-, 
20180331,CCF    ,201804     ,133103,15.4,2,-,-, 
20180331,CCF    ,201804     ,133135,15.45,4,-,-, 
20180331,CCF    ,201804     ,133833,15.45,2,-,-, 
20180331,CCF    ,201804     ,133833,15.45,2,-,-, 
20180331,CCF    ,201804     ,134004,15.45,2,-,-, 
20180331,CCF    ,201804     ,134015,15.4,2,-,-, 
20180331,CCF    ,201804     ,134029,15.4,4,-,-, 
20180331,CCF    ,201804     ,134029,15.4,2,-,-, 
20180331,CCF    ,201804     ,134032,15.4,2,-,-, 
20180331,CCF    ,201804     ,134038,15.4,2,-,-, 
20180331,CCF    ,201804     ,134048,15.4,2,-,-, 
20180331,CCF    ,201804     ,134057,15.4,2,-,-, 
20180331,CCF    ,201804     ,134102,15.45,2,-,-, 
20180331,CCF    ,201804     ,134131,15.4,2,-,-, 
20180331,CCF    ,201804     ,134140,15.4,2,-,-, 
20180331,CCF    ,201804     ,134154,15.4,2,-,-, 
20180331,CCF    ,201804     ,134209,15.4,2,-,-, 
20180331,CCF    ,201804     ,134225,15.4,2,-,-, 
20180331,CCF    ,201804     ,134243,15.4,2,-,-, 
20180331,CCF    ,201804     ,134305,15.4,2,-,-, 
20180331,CCF    ,201804     ,134335,15.4,2,-,-, 
20180331,CCF    ,201804     ,134335,15.4,2,-,-, 
20180331,CCF    ,201804     ,134426,15.45,6,-,-, 
20180331,CCF    ,201805     ,084621,15.6,2,-,-, 
20180331,CCF    ,201805     ,084851,15.6,4,-,-, 
20180331,CCF    ,201805     ,085043,15.6,4,-,-, 
20180331,CCF    ,201805     ,085052,15.6,4,-,-, 
20180331,CCF    ,201805     ,090342,15.5,50,-,-, 
20180331,CCF    ,201805     ,090602,15.5,18,-,-, 
20180331,CCF    ,201805     ,090602,15.5,32,-,-, 
20180331,CCF    ,201805     ,090602,15.5,60,-,-, 
20180331,CCF    ,201805     ,090602,15.5,4,-,-, 
20180331,CCF    ,201805     ,090602,15.5,8,-,-, 
20180331,CCF    ,201805     ,090603,15.5,4,-,-, 
20180331,CCF    ,201805     ,090605,15.5,8,-,-, 
20180331,CCF    ,201805     ,090605,15.5,2,-,-, 
20180331,CCF    ,201805     ,090606,15.5,4,-,-, 
20180331,CCF    ,201805     ,090717,15.45,2,-,-, 
20180331,CCF    ,201805     ,090717,15.45,2,-,-, 
20180331,CCF    ,201805     ,090728,15.45,6,-,-, 
20180331,CCF    ,201805     ,090740,15.45,10,-,-, 
20180331,CCF    ,201805     ,090846,15.45,4,-,-, 
20180331,CCF    ,201805     ,091030,15.5,2,-,-, 
20180331,CCF    ,201805     ,091219,15.45,6,-,-, 
20180331,CCF    ,201805     ,091226,15.5,10,-,-, 
20180331,CCF    ,201805     ,091245,15.55,10,-,-, 
20180331,CCF    ,201805     ,091321,15.55,50,-,-, 
20180331,CCF    ,201805     ,091331,15.55,10,-,-, 
20180331,CCF    ,201805     ,091333,15.6,20,-,-, 
20180331,CCF    ,201805     ,091347,15.5,50,-,-, 
20180331,CCF    ,201805     ,091429,15.6,2,-,-, 
20180331,CCF    ,201805     ,091531,15.6,6,-,-, 
20180331,CCF    ,201805     ,091534,15.6,50,-,-, 
20180331,CCF    ,201805     ,091535,15.6,6,-,-, 
20180331,CCF    ,201805     ,091537,15.65,64,-,-, 
20180331,CCF    ,201805     ,094711,15.55,2,-,-, 
20180331,CCF    ,201805     ,095234,15.55,2,-,-, 
20180331,CCF    ,201805     ,095355,15.55,2,-,-, 
20180331,CCF    ,201805     ,101402,15.5,2,-,-, 
20180331,CCF    ,201805     ,101402,15.5,50,-,-, 
20180331,CCF    ,201805     ,101402,15.5,30,-,-, 
20180331,CCF    ,201805     ,101402,15.5,18,-,-, 
20180331,CCF    ,201805/201806,104234,0,12,15.5,15.5, 
20180331,CCF    ,201805     ,105412,15.5,2,-,-, 
20180331,CCF    ,201805     ,110114,15.45,12,-,-, 
20180331,CCF    ,201805     ,110114,15.45,8,-,-, 
20180331,CCF    ,201805     ,110114,15.45,38,-,-, 
20180331,CCF    ,201805/201806,111801,0,12,15.45,15.45, 
20180331,CCF    ,201805/201806,112145,0,12,15.45,15.45, 
20180331,CCF    ,201805/201806,112337,0,12,15.45,15.45, 
20180331,CCF    ,201805/201806,113525,0,12,15.45,15.45, 
20180331,CCF    ,201805     ,120856,15.45,20,-,-, 
